shift_id,shift,units_per_hour,defect_rate,meets_sla
1,A,216.17,0.177,0
2,C,459.81,0.203,1
3,C,138.28,0.319,0
4,D,337.08,0.059,1
5,B,185.89,0.187,0
6,B,128.81,0.029,0
7,A,99.76,0.237,0
8,A,267.47,0.014,0
9,A,372.37,0.089,1
10,D,169.54,0.325,0
11,B,247.57,0.378,0
12,B,10.57,0.239,0
13,D,133.0,0.412,0
14,A,373.36,0.142,1
15,B,403.28,0.383,1
16,D,107.56,0.356,0
17,A,107.78,0.336,0
18,C,332.44,0.352,1
19,B,79.81,0.256,0
20,A,242.05,0.36,0
21,B,493.67,0.127,1
22,D,43.88,0.138,0
23,D,317.99,0.345,1
24,D,445.96,0.475,1
25,D,74.4,0.232,0
26,C,458.93,0.465,1
27,D,205.31,0.415,0
28,D,132.14,0.489,0
29,A,266.14,0.307,0
30,C,233.95,0.495,0
31,B,272.39,0.098,0
32,B,352.88,0.329,1
33,B,188.28,0.243,0
34,B,67.41,0.48,0
35,B,48.55,0.388,0
36,C,133.8,0.469,0
37,A,398.71,0.044,1
38,D,486.98,0.498,1
39,C,56.02,0.116,0
40,A,322.71,0.176,1
41,A,413.12,0.45,1
42,C,390.22,0.468,1
43,A,327.91,0.15,1
44,A,201.65,0.386,0
45,B,385.54,0.133,1
46,C,495.29,0.267,1
47,D,150.09,0.485,0
48,A,227.54,0.48,0
49,B,423.32,0.269,1
50,D,96.58,0.452,0
51,D,77.74,0.455,0
52,D,290.05,0.033,0
53,D,236.05,0.491,0
54,D,368.74,0.029,1
55,A,328.21,0.224,1
56,C,161.97,0.288,0
57,D,283.02,0.226,0
58,C,206.29,0.061,0
59,C,112.75,0.233,0
60,C,458.19,0.299,1
61,C,44.86,0.012,0
62,C,413.21,0.352,1
63,C,397.69,0.439,1
64,B,247.13,0.238,0
65,B,163.22,0.17,0
66,B,440.96,0.001,1
67,B,453.77,0.024,1
68,D,74.82,0.304,0
69,D,147.97,0.45,0
70,D,108.32,0.35,0
71,A,456.78,0.183,1
72,D,169.66,0.14,0
73,A,283.95,0.266,0
74,C,150.88,0.33,0
75,B,476.6,0.007,1
76,B,291.25,0.136,0
77,C,449.91,0.407,1
78,C,322.43,0.154,1
79,D,396.56,0.382,1
80,D,423.75,0.499,1
81,C,381.45,0.16,1
82,D,335.65,0.116,1
83,A,177.5,0.399,0
84,D,348.21,0.171,1
85,A,250.98,0.046,0
86,A,26.49,0.46,0
87,A,188.23,0.387,0
88,C,448.17,0.487,1
89,A,376.44,0.456,1
90,A,250.85,0.248,0
91,D,209.48,0.369,0
92,A,176.22,0.093,0
93,A,346.69,0.126,1
94,A,214.63,0.076,0
95,B,364.52,0.387,1
96,D,393.74,0.119,1
97,A,253.82,0.203,0
98,B,435.15,0.259,1
99,B,249.33,0.069,0
100,A,361.62,0.198,1
101,C,460.96,0.007,1
102,D,494.98,0.117,1
103,C,277.3,0.482,0
104,B,277.55,0.128,0
105,A,11.42,0.398,0
106,C,469.14,0.099,1
107,A,356.14,0.124,1
108,C,477.45,0.357,1
109,D,456.38,0.371,1
110,C,200.11,0.472,0
111,A,426.73,0.488,1
112,C,400.49,0.212,1
113,A,376.36,0.254,1
114,B,437.69,0.148,1
115,B,162.64,0.059,0
116,B,267.77,0.105,0
117,B,471.55,0.238,1
118,A,233.55,0.251,0
119,A,345.65,0.036,1
120,D,159.86,0.128,0
121,A,103.22,0.17,0
122,B,192.62,0.301,0
123,B,76.27,0.141,0
124,B,487.54,0.069,1
125,C,124.15,0.074,0
126,B,301.57,0.356,1
127,C,262.04,0.282,0
128,D,406.24,0.137,1
129,C,27.37,0.159,0
130,D,16.13,0.025,0
131,D,255.99,0.437,0
132,B,255.28,0.269,0
133,C,437.25,0.285,1
134,A,292.87,0.041,0
135,C,130.98,0.229,0
136,D,44.65,0.246,0
137,B,136.29,0.024,0
138,C,140.58,0.137,0
139,A,175.07,0.142,0
140,B,463.12,0.202,1
141,A,404.52,0.461,1
142,D,273.96,0.191,0
143,C,495.39,0.202,1
144,A,34.48,0.242,0
145,C,348.66,0.442,1
146,B,145.9,0.309,0
147,A,109.52,0.189,0
148,C,272.74,0.034,0
149,C,200.32,0.061,0
150,C,61.77,0.308,0
151,A,465.72,0.213,1
152,B,173.26,0.368,0
153,B,170.59,0.206,0
154,A,49.22,0.478,0
155,D,56.85,0.069,0
156,A,234.86,0.153,0
157,D,86.26,0.399,0
158,A,339.71,0.423,1
159,C,392.48,0.318,1
160,D,263.0,0.22,0
161,C,207.32,0.252,0
162,C,147.0,0.043,0
163,A,414.2,0.319,1
164,C,421.57,0.247,1
165,C,41.85,0.302,0
166,B,151.98,0.35,0
167,C,229.08,0.32,0
168,A,444.28,0.123,1
169,B,372.58,0.163,1
170,D,36.48,0.355,0
171,A,312.22,0.118,1
172,B,10.74,0.045,0
173,B,257.35,0.19,0
174,D,366.84,0.343,1
175,B,313.57,0.049,1
176,C,482.57,0.02,1
177,B,84.88,0.362,0
178,C,367.39,0.008,1
179,A,34.2,0.32,0
180,D,328.5,0.145,1
181,A,203.83,0.431,0
182,B,413.64,0.053,1
183,A,52.52,0.477,0
184,B,378.09,0.122,1
185,A,191.03,0.144,0
186,A,154.99,0.077,0
187,C,369.51,0.013,1
188,A,353.57,0.325,1
189,B,394.57,0.03,1
190,A,284.22,0.394,0
191,C,318.96,0.468,1
192,C,84.76,0.441,0
193,D,328.0,0.011,1
194,B,112.94,0.396,0
195,B,262.85,0.35,0
196,C,61.88,0.006,0
197,C,468.16,0.165,1
198,C,175.09,0.114,0
199,A,467.52,0.448,1
200,B,53.42,0.379,0
201,A,330.9,0.242,1
202,B,261.66,0.293,0
203,D,259.47,0.187,0
204,B,158.44,0.432,0
205,D,195.24,0.022,0
206,D,480.88,0.073,1
207,B,127.1,0.243,0
208,B,499.93,0.5,1
209,C,398.86,0.459,1
210,D,144.08,0.391,0
211,D,170.69,0.038,0
212,D,437.02,0.236,1
213,D,182.23,0.048,0
214,C,316.15,0.15,1
215,B,81.78,0.1,0
216,D,77.74,0.222,0
217,D,205.62,0.114,0
218,A,70.11,0.327,0
219,D,200.64,0.457,0
220,A,158.09,0.337,0
221,C,143.77,0.32,0
222,B,409.5,0.402,1
223,C,25.32,0.491,0
224,C,342.31,0.043,1
225,C,480.63,0.159,1
226,D,201.33,0.07,0
227,D,314.65,0.034,1
228,B,341.77,0.447,1
229,C,114.42,0.436,0
230,D,333.49,0.466,1
231,D,459.95,0.369,1
232,D,43.95,0.273,0
233,B,55.88,0.351,0
234,A,395.58,0.297,1
235,A,420.18,0.021,1
236,B,109.17,0.217,0
237,D,136.28,0.223,0
238,A,342.37,0.086,1
239,A,70.81,0.233,0
240,D,434.2,0.362,1
241,C,483.66,0.236,1
242,D,221.52,0.324,0
243,D,200.79,0.308,0
244,A,495.57,0.119,1
245,B,148.09,0.397,0
246,D,56.4,0.306,0
247,C,133.41,0.439,0
248,D,445.21,0.421,1
249,D,35.23,0.493,0
250,B,205.56,0.433,0
251,A,284.53,0.489,0
252,C,27.41,0.499,0
253,B,407.12,0.454,1
254,C,76.43,0.068,0
255,C,51.54,0.472,0
256,D,226.2,0.179,0
257,D,47.33,0.464,0
258,C,418.91,0.054,1
259,C,384.97,0.363,1
260,D,463.78,0.232,1
261,D,90.26,0.28,0
262,B,205.49,0.081,0
263,D,282.24,0.47,0
264,A,130.99,0.018,0
265,C,256.12,0.46,0
266,A,144.03,0.421,0
267,B,303.97,0.302,1
268,D,335.41,0.051,1
269,D,244.18,0.333,0
270,C,165.73,0.103,0
271,A,395.81,0.49,1
272,C,431.3,0.226,1
273,A,436.82,0.477,1
274,C,163.31,0.304,0
275,C,467.19,0.028,1
276,C,15.76,0.495,0
277,A,454.83,0.344,1
278,C,285.14,0.338,0
279,B,90.36,0.264,0
280,C,144.88,0.359,0
281,D,209.63,0.494,0
282,C,94.43,0.333,0
283,D,84.91,0.468,0
284,D,445.37,0.406,1
285,B,474.6,0.335,1
286,B,136.51,0.449,0
287,D,24.17,0.227,0
288,C,67.59,0.272,0
