project_id,start_date,planned_duration_days,actual_duration_days,end_date_planned,budget,actual_spend,num_team_members,stakeholder_satisfaction,project_success
1,2022-04-13,330,382.2,2023-03-09,309178,367874.05,13,2.84,0
2,2023-01-08,159,129.2,2023-06-16,241335,278509.35,4,3.89,0
3,2023-02-18,353,321.2,2024-02-06,249041,221873.74,14,3.45,1
4,2022-09-10,295,306.8,2023-07-02,442752,470374.12,18,1.93,0
5,2023-11-18,110,127.1,2024-03-07,117435,124142.56,5,4.44,0
6,2023-10-09,80,109.5,2023-12-28,306840,255452.22,16,4.23,0
7,2022-12-12,112,119.2,2023-04-03,302801,345834.02,9,3.44,0
8,2022-02-04,265,317.3,2022-10-27,348064,323487.2,4,2.7,0
9,2023-07-20,165,228.0,2024-01-01,365139,325859.99,14,4.76,0
10,2022-09-27,363,333.1,2023-09-25,61534,51949.85,10,4.38,1
11,2022-12-04,112,108.5,2023-03-26,398951,390324.35,15,1.56,0
12,2022-01-15,360,379.5,2023-01-10,426896,344854.36,3,1.79,0
13,2023-04-17,122,149.7,2023-08-17,186330,167589.15,5,4.09,0
14,2023-05-05,290,382.2,2024-02-19,376649,323140.18,10,2.8,0
15,2022-02-02,107,106.5,2022-05-20,439622,420054.94,5,3.37,1
16,2023-12-27,94,130.0,2024-03-30,251664,249515.65,5,4.04,0
17,2022-08-06,314,349.7,2023-06-16,423133,442977.01,17,1.44,0
18,2023-04-06,238,258.3,2023-11-30,295310,368511.97,6,4.63,0
19,2023-02-11,290,267.3,2023-11-28,499260,534168.53,15,1.31,0
20,2023-11-30,302,354.7,2024-09-27,429989,533286.94,8,2.83,0
21,2023-09-12,103,115.7,2023-12-24,75939,94641.22,9,4.63,0
22,2023-01-20,342,450.2,2023-12-28,187848,227109.62,9,1.66,0
23,2023-02-15,196,170.9,2023-08-30,431245,392887.44,14,1.98,0
24,2023-01-09,219,183.7,2023-08-16,118840,119067.95,14,2.01,0
25,2023-01-21,172,141.4,2023-07-12,117172,110425.27,19,4.91,1
26,2022-08-08,113,152.0,2022-11-29,444070,417125.27,4,3.12,0
27,2023-12-31,219,263.5,2024-08-06,207381,191003.63,13,2.48,0
28,2023-02-05,314,370.3,2023-12-16,218229,214713.67,8,2.6,0
29,2023-05-26,299,296.7,2024-03-20,72671,88487.93,8,3.78,0
30,2023-10-22,311,381.5,2024-08-28,368394,335282.94,9,1.7,0
31,2023-10-02,98,118.1,2024-01-08,412833,503183.59,12,2.03,0
32,2022-05-24,171,163.6,2022-11-11,157512,166697.78,3,1.37,0
33,2023-10-14,96,96.3,2024-01-18,341999,381859.23,5,3.8,0
34,2022-07-27,190,240.9,2023-02-02,54499,67771.86,13,4.74,0
35,2023-02-24,163,222.3,2023-08-06,229426,226246.47,16,3.19,0
36,2022-06-12,267,327.7,2023-03-06,362252,330422.6,3,2.98,0
37,2023-05-19,194,218.4,2023-11-29,136416,130145.01,16,3.36,0
38,2022-08-18,110,116.7,2022-12-06,388357,486630.5,3,3.31,0
39,2023-04-26,363,457.8,2024-04-23,95714,103945.6,19,4.98,0
40,2022-06-07,105,131.1,2022-09-20,348356,432570.02,7,4.71,0
41,2023-05-12,361,501.1,2024-05-07,488452,530530.3,3,2.27,0
42,2022-05-08,77,100.6,2022-07-24,215656,215083.59,5,3.28,0
43,2023-09-18,347,306.8,2024-08-30,54014,69949.58,12,4.51,0
44,2022-04-14,358,349.5,2023-04-07,259141,253892.25,5,2.02,0
45,2023-02-12,72,79.3,2023-04-25,269963,284992.16,15,1.78,0
46,2023-05-27,201,206.1,2023-12-14,137922,133646.08,4,2.75,0
47,2022-02-20,212,206.0,2022-09-20,102921,110261.56,19,1.15,0
48,2022-02-23,160,154.1,2022-08-02,163632,198638.53,14,3.49,0
49,2022-07-15,321,336.0,2023-06-01,247484,222040.17,5,3.55,1
50,2023-10-18,328,326.0,2024-09-10,283841,300346.4,19,2.6,0
51,2023-08-27,117,106.5,2023-12-22,424710,393039.49,11,3.75,1
52,2023-10-03,117,111.2,2024-01-28,275913,242311.91,18,1.73,0
53,2022-08-25,331,374.9,2023-07-22,456716,533877.46,5,1.99,0
54,2023-10-18,145,120.0,2024-03-11,405612,348029.83,19,2.25,0
55,2023-03-29,263,288.0,2023-12-17,356063,302267.96,9,2.39,0
56,2022-09-11,281,384.8,2023-06-19,338790,279172.94,6,1.18,0
57,2022-08-11,309,406.0,2023-06-16,422370,444150.83,7,3.74,0
58,2022-01-16,339,276.6,2022-12-21,238751,267689.92,14,2.55,0
59,2023-01-15,92,118.9,2023-04-17,54000,65102.51,14,2.54,0
60,2023-02-21,227,218.9,2023-10-06,381593,344709.05,14,1.4,0
61,2022-09-10,301,359.2,2023-07-08,150386,145615.32,12,1.09,0
62,2023-02-22,174,211.9,2023-08-15,332502,285646.62,15,4.75,0
63,2023-01-11,276,311.5,2023-10-14,110692,142105.31,7,4.0,0
64,2022-07-11,286,250.7,2023-04-23,164352,191605.49,19,4.11,0
